Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Redbubble,https://www.redbubble.com,OSM (fill),07051038,Program Affiliates,Partner,program.affiliates@redbubble.com,website,press@redbubble.com; program.affiliates@redbubble.com
El Cerrito Preschool Cooperative,https://ecpckids.com/wordpress,OSM (fill),05105261916,Official Business,Vice President,official@ecpckids.com,website,admin@ecpckids.com; alumni@ecpckids.com; fundraising@ecpckids.com; marketing@ecpckids.com; staffscheduler@ecpckids.com; vp@ecpckids.com; webmaster@ecpckids.com; official@ecpckids.com
Salito's Crab House and Prime Rib,https://salitoscrabhouse.com,OSM (fill),0221220,,,comments@salitoscrabhouse.com,none,comments@salitoscrabhouse.com
SCIC Italia,https://scicsanfrancisco.com,OSM (fill),01520153,Alicia Lo,founder,alicia.lo@scicsanfrancisco.com,website,info@scicsanfrancisco.com; alicia.lo@scicsanfrancisco.com
Berkeley mills,https://berkeleymills.com,OSM (fill),0260417,Gene Agress,founder,gene@berkeleymills.com,website,shop@berkeleymills.com; gene@berkeleymills.com
Bitters and Bottles,https://www.bittersandbottles.com,OSM (fill),02607290013,Joe Barwin,Owner,joe.barwin@bittersandbottles.com,website,hello@bittersandbottles.com; joe.barwin@bittersandbottles.com
Barry's,https://www.barrys.com/studio/castro,OSM (fill),0236185,Barry Jay,cto,barry@barrys.com,website,castro@barrys.com; barry@barrys.com
Flatiron Wines & Spirits,https://sf.flatiron-wines.com,OSM (fill),04516683,,,help@flatiron-wines.com,none,help@flatiron-wines.com; recipient@giftnote.com; sf-help@flatiron-wines.com
YMCA,https://www.ymcasf.org/locations/stonestown-family-ymca,OSM (fill),0260624,Annual Report,partner,annual@ymcasf.org,website,memberservices@ymcasf.org; annual@ymcasf.org
Bikram Hot Yoga,https://hotyogaplus-sf.com,OSM (fill),0230322,City San,CTO,city.san@hotyogaplus-sf.com,website,hotyogaplus.dc@gmail.com; hotyogaplus.sf@gmail.com; hotyogaplus.sm@gmail.com; city.san@hotyogaplus-sf.com
The Mix,https://themixatsfpl.org,OSM (fill),0200110,Upcoming Events,Team Member,upcoming.events@themixatsfpl.org,website,themixreservations@sfgov1.onmicrosoft.com; upcoming.events@themixatsfpl.org
Kitava Kitchen,https://www.kitava.com,OSM (fill),05603463418,What Makes,Co-Founder,what.makes@kitava.com,website,info@kitava.com; what.makes@kitava.com
Soluna Yoga and Wellness,https://www.solunayogaandwellness.com,OSM (fill),0115012015,Lauren Kader,Founder,lauren@solunayogaandwellness.com,website,soluna@solunayogaandwellness.com; lauren@solunayogaandwellness.com
Heath Ceramics,https://www.heathceramics.com/pages/san-francisco,OSM (fill),07130448010165663004,Ilse Crawford,founder,ilse.crawford@heathceramics.com,website,customerservice@heathceramics.com; press@heathceramics.com; ilse.crawford@heathceramics.com
Powis Parker Inc.,http://www.powis.com,OSM (fill),0223612,,,techservice@powis.com,none,customerservice@powis.com; techservice@powis.com
Banfield Pet Hospital,https://www.banfield.com,OSM (fill),0190313190108619,Banfield Shop,partner,banfield@banfield.com,website,info@banfieldfoundation.org; banfield.websupport@banfield.com; banfieldcares@banfield.com; cst.inbox@banfield.com; email@emailserver.com; home.delivery@banfield.com; owp@banfield.com; wellnessplanteam@banfield.com; banfield@banfield.com
Kokoro,https://www.kokoroassistedliving.org,OSM (fill),0260331,Assisted Living,senior,assisted.living@kokoroassistedliving.org,website,jgumera@northstarsl.com; assisted.living@kokoroassistedliving.org
Bodyrok,https://bodyrok.com/studio/haight,OSM (fill),0260717,Instructors Your,cto,instructors@bodyrok.com,website,info@bodyrok.com; haight@bodyrok.com; instructors@bodyrok.com
Anytime Fitness,https://www.anytimefitness.com/gyms/4356/sausalito-ca-94965,OSM (fill),0611448,Daniel Sussman,Owner,daniel@anytimefitness.com,website,customercare@abcfitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; sausalitoca@anytimefitness.com; daniel@anytimefitness.com
Bike Kitchen,https://bikekitchen.org,OSM (fill),0260126,,,info@bikekitchen.org,none,info@bikekitchen.org
Delia’s Little Angels,https://deliaslittleangels.yolasite.com,OSM (fill),06900004,Healthy Roots,partner,healthy.roots@deliaslittleangels.yolasite.com,website,deliaslittleangels@hotmail.com; healthy.roots@deliaslittleangels.yolasite.com
Blackwell’s Wines & Spirits,https://www.blackwellwines.com,OSM (fill),+14153869463,Bay Area,owner,bay.area@blackwellwines.com,website,cheers@blackwellswines.com; bay.area@blackwellwines.com
Salesforce Transit Center,https://salesforcetransitcenter.com,OSM (fill),0260821,Bay Area,Director,bay.area@salesforcetransitcenter.com,website,info@tjpa.org; security@tjpa.org; bay.area@salesforcetransitcenter.com
Foreign Languages and Literatures,https://mll.sfsu.edu,OSM (fill),0705386342,,,mll@sfsu.edu,none,mll@sfsu.edu
New Traditions Elementary School,https://www.newtraditionssf.com,OSM (fill),0129161,New Traditions,director,new@newtraditionssf.com,website,1fikk49d8kp0o8kh6hc13m6o756vc1vp@import.calendar.google.com; donate@newtraditionssf.com; equity@sfusd.edu; rmai@ymcasf.org; new@newtraditionssf.com
Benefit Cosmetics Boutique,https://www.benefitcosmetics.com,OSM (fill),077145779,,,press@benefitcosmetics.com,none,press@benefitcosmetics.com
Young Community Developers,https://www.ycdjobs.org,OSM (fill),0627516764711,Chief Financial,CEO,chief@ycdjobs.org,website,info@safer-together.org; learn@ycdjobs.org; chief@ycdjobs.org
Little Oceanauts,https://www.littleoceanauts.com,OSM (fill),026080603,Pastel Desserts,partner,pastel.desserts@littleoceanauts.com,website,info@littleoceanauts.com; pastel.desserts@littleoceanauts.com
Park Animal Hospital,https://parkanimalvetsf.com,OSM (fill),0963105,,,pah.info@pathwayvets.com,none,pah.info@pathwayvets.com
Mediterranean Aroma,https://www.mediterraneanaroma.com,OSM (fill),+14158293119,Subscribe Form,OWNER,subscribe.form@mediterraneanaroma.com,website,mediterraneanaroma900@gmail.com; subscribe.form@mediterraneanaroma.com
TJ's Gym,https://www.tjsgym.com,OSM (fill),0260325,New Jersey,Founder,new.jersey@tjsgym.com,website,dev@biglittlegyms.com; tj@tjsgym.com; new.jersey@tjsgym.com
CrossFit Potrero Hill,https://crossfitpotrerohill.com,OSM (fill),0260720,San Francisco,partner,san@crossfitpotrerohill.com,website,info@crossfitpotrerohill.com; billing@crossfitpotrerohill.com; membership@crossfitpotrerohill.com; rachel@hopperlifegroup.com; san@crossfitpotrerohill.com
Last Rites,https://www.lastritesbar.com,OSM (fill),01546909892459,,,hello@lastritesbar.com,none,hello@lastritesbar.com
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/california/albany/1495-solano-ave,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager0101@orangetheoryfitness.com; author.share@orangetheory.com
24 Hour Fitness,https://www.24hourfitness.com/gyms/el-cerrito-ca/el-cerrito-supersport,OSM (fill),0343260715123811,Other Sharing,owner,other.sharing@24hourfitness.com,website,ccpadr@24hourfit.com; cpm@24hourfit.com; cpo@24hourfit.com; other.sharing@24hourfitness.com
Arkay Foundation,https://www.arkayfoundation.org,OSM (fill),062023238,Director Susan,President,director.susan@arkayfoundation.org,website,whitney@thirdplateau.com; director.susan@arkayfoundation.org
IDESST Sausalito Portuguese Cultural Center,https://idesst.wildapricot.org,OSM (fill),01705150000000,Diane Dias,President,diane.dias@idesst.wildapricot.org,website,info@idesst.org; diane@idesst.org; rental@idesst.org; diane.dias@idesst.wildapricot.org
Deloitte,https://www.deloitte.com,OSM (fill),044299401,Jason Girzadas,Chief Executive Officer,jason@deloitte.com,website,uswebmaster@deloitte.com; jason@deloitte.com
Let it Bleed,https://www.letitbleedtattoo.com,OSM (fill),01520153,,,letitbleedtattoosf@yahoo.com,none,letitbleedtattoosf@yahoo.com
Vital Tea-Leaf,https://vitaltealeaf.net,OSM (fill),05198536778037889817,Cable Guy,cto,cable.guy@vitaltealeaf.net,website,vitaltealeaf@yahoo.com; cable.guy@vitaltealeaf.net
City Experiences,https://www.cityexperiences.com/san-francisco,OSM (fill),0250604,Bay Area,partner,bay.area@cityexperiences.com,website,info@alcatrazcruises.com; info@statuecitycruises.com; acc-groups@cityexperiences.com; goga_accessibility@nps.gov; groups@statuecruises.com; u003eacc-groups@cityexperiences.com; u003egoga_accessibility@nps.gov; bay.area@cityexperiences.com
"Williams-Sonoma, Inc.",http://www.williams-sonomainc.com,OSM (fill),026290035,Product Submission,Team Member,product.submission@williams-sonomainc.com,website,pr@greenrow.com; pr@markandgraham.com; pr@pbteen.com; pr@potterybarn.com; pr@potterybarnkids.com; pr@rejuvenation.com; pr@westelm.com; pr@williams-sonoma.com; pr@williams-sonomainc.com; product.submission@williams-sonomainc.com
Don's Key and Lock,https://donskey.com,OSM (fill),0404211,,,keys@donskey.com,none,keys@donskey.com
Slide Ranch,https://www.slideranch.org,OSM (fill),070660031,Doug Ferguson,founder,doug.ferguson@slideranch.org,website,admin@slideranch.org; doug.ferguson@slideranch.org
Grand Lake Kitchen,https://www.grandlakekitchen.com/location/noe-valley,OSM (fill),09229582,Order Online,PARTNER,order@grandlakekitchen.com,website,info@grandlakekitchen.com; noe@grandlakekitchen.com; order@grandlakekitchen.com
Sentro Filipino,https://sentrofilipino.com,OSM (fill),0658141036401503,,,ninfo@sentrofilipino.com,none,ninfo@sentrofilipino.com
The Dr. William L. Gee House,https://onlok.org/about/housing,OSM (fill),+14152928888,All-Inclusive Care,founder,all-inclusive.care@onlok.org,website,info@onlok.org; all-inclusive.care@onlok.org
El Burrito Express,https://www.ebxsf.com,OSM (fill),08253526,,,phil@ebxcatering.com,none,phil@ebxcatering.com
Ikenga Palm Wines,https://ikengawines.com,OSM (fill),0260709,Onye Ahanotu,Founder,onye.ahanotu@ikengawines.com,website,info@ikengawines.com; faysal.bohmo@gmail.com; onye.ahanotu@ikengawines.com
The Commonwealth Club of California,https://www.commonwealthclub.org,OSM (fill),01731140,Club Co-Presidents,CEO,club@commonwealthclub.org,website,07anjalimenon@gmail.com; andrew@earth.live; annews232@gmail.com; bakersurgeon@gmail.com; bkeynoush@gmail.com; clarkeusaf@aol.com; cthomasonredus@gmail.com; ddporyes@gmail.com; ecarney@tribalcode.com; eniseltc@yahoo.com; eric.siegel@comcast.net; frank_price@comcast.net; george@pythpress.com; gerald@artofquantumplanning.com; i.am@virginiacheung.com; ian@trackandshare.org; kalenagregory@tccops.org; kalidip@yahoo.com; lillian.nakagawa@comcast.net; mbiggar@connectedtoplace.com; norwalden@aol.com; oreillyphd@hotmail.com; patty@pattyjames.com; rlkilpatrick@techvision.com; rmelton@commonwealthclub.org; vcortega2017@gmail.com; wbgrant@infionline.net; club@commonwealthclub.org
Locali Mediterranean,http://localisf.com,OSM (fill),0268292,Tania Sayij,Owner,tania.sayij@localisf.com,website,localisf@gmail.com; tania.sayij@localisf.com
Guitar Center,https://stores.guitarcenter.com/ca/emeryville/224,OSM (fill),0101732,Fender Spe,cto,fender.spe@stores.guitarcenter.com,website,all-store-224-emeryville-retail-managers@guitarcenter.com; john.buffey@googlemail.com; fender.spe@stores.guitarcenter.com
Civic Center Pit Stop,https://www.sfpublicworks.org/pitstop,OSM (fill),0807468,Community Corridors,Partner,community.corridors@sfpublicworks.org,website,julian.pham@sfdpw.org; kevin.w.jensen@sfdpw.org; publicworkspermits@sfdpw.org; community.corridors@sfpublicworks.org
Habitat,https://habitathairsalon.com,OSM (fill),089236422109309,Habitat Hair,Team Member,habitat.hair@habitathairsalon.com,website,impallari@gmail.com; habitat.hair@habitathairsalon.com
Muscle Beach,https://www.musclebeachsf.com,OSM (fill),04900491,,,dowhatyoulove@musclebeachsf.com,none,dowhatyoulove@musclebeachsf.com
Animal Farm Pet Hospital,https://animalfarmpethospital.com,OSM (fill),040787555,Preventative Rebates,Team Member,preventative.rebates@animalfarmpethospital.com,website,afphreception@gmail.com; preventative.rebates@animalfarmpethospital.com
The Rabbit Hole Theater Company,https://therabbitholesf.com,OSM (fill),0260211,Strider Strider,founder,strider.strider@therabbitholesf.com,website,info@therabbitholetheater.com; strider.strider@therabbitholesf.com
EQ3 Bay Area - Emeryville,https://www.eq3.com/ca/en/shopwithus/eq3-locations/cjw10z96w00ju6gs01kw08lq2/bay-street-shopping-center/eq3-emeryville,OSM (fill),+15106010400,Parking Information,Team Member,parking@eq3.com,website,anagpal@eq3.ca; bbarlow@eq3.com; customercare@eq3.ca; dcastro@eq3.ca; rletkeman@palliser.ca; ystetsenko@eq3.ca; parking@eq3.com
Manny for Supervisor,https://www.mannyforsf.com,OSM (fill),04818390,,,u003einfo@mannyforsf.com,none,info@mannyforsf.com; office@dardenstudio.com; u003einfo@mannyforsf.com
When Modern Was,https://whenmodernwas.com,OSM (fill),0240412,,,dona@galleryofjewels.com,none,dona@galleryofjewels.com
City Aikido,https://www.cityaikido.com,OSM (fill),076797320,Nadeau Shihan,Founder,nadeau.shihan@cityaikido.com,website,aikidomv@gmail.com; cityaikido@gmail.com; cityaikido@googlegroups.com; nadeau.shihan@cityaikido.com
AmphitheaterLAB,https://thelabberkeley.com/amenities#amphitheaterlab,OSM (fill),0143204,Neighborhood Explore,cto,neighborhood.explore@thelabberkeley.com,website,gregg.domanico@cbre.com; james.bennett@cbre.com; michael.domanico@cbre.com; sdunn@steelwavellc.com; smcclaughry@steelwavellc.com; neighborhood.explore@thelabberkeley.com
Ambi Robotics,https://www.ambirobotics.com,OSM (fill),0260603,Marc Lautenbach,CEO,marc.lautenbach@ambirobotics.com,website,press@ambirobotics.com; marc.lautenbach@ambirobotics.com
Tranquil Resonance Studio,https://tranquilresonance.com,OSM (fill),01587615,Ancient Traditions,cto,ancient.traditions@tranquilresonance.com,website,info@tranquilresonance.com; ancient.traditions@tranquilresonance.com
Bandit,https://www.banditsf.com,OSM (fill),01508871996698,,,eatatbandit@gmail.com,none,eatatbandit@gmail.com
Multicultural institute,https://mionline.org,OSM (fill),070660031,English Back,PARTNER,english.back@mionline.org,website,info@mionline.org; english.back@mionline.org
Culinary Artistas,https://culinaryartistas.com,OSM (fill),0771283,Lead Chef,CEO,lead@culinaryartistas.com,website,info@culinaryartistas.com; rennee@culinaryartistas.com; lead@culinaryartistas.com
Machaon Diagnostics,https://www.machaondiagnostics.com,OSM (fill),0260804,Fax Academic,Partner,fax.academic@machaondiagnostics.com,website,sol@thespider.com; fax.academic@machaondiagnostics.com
Workstream,https://www.workstream.us,OSM (fill),03963113058178547,Jimmy Johns,Partner,jimmy.johns@workstream.us,website,hellosales@workstream.is; help@workstream.is; jimmy.johns@workstream.us
Maru Dojo,https://marudojo.com,OSM (fill),01520153,Brazilian Jiu-Jitsu,cto,brazilian.jiu-jitsu@marudojo.com,website,marusfdojo@gmail.com; brazilian.jiu-jitsu@marudojo.com
Park Gym,https://www.theparkgym.com,OSM (fill),0820584365601,,,info@theparkgym.com,none,info@theparkgym.com
Blippar,https://blippar.com,OSM (fill),0404033,,,support@blippar.com,none,support@blippar.com; support@edgedigital.net
PayJoy,https://www.payjoy.com,OSM (fill),0273210651,Doug Ricket,CEO,doug.ricket@payjoy.com,website,info@payjoy.com; support-pa@payjoy.com; clientes.colombia@payjoy.com; clientes.ec@payjoy.com; clientes@payjoy.com; soporte.peru@payjoy.com; suportebrasil@payjoy.com; doug.ricket@payjoy.com
SOMA Animal Hospital,https://www.somaanimalhospital.com,OSM (fill),05270627,Barbara Wood,Director,barbara.wood@somaanimalhospital.com,website,info@somaanimalhospital.com; barbara.wood@somaanimalhospital.com
SingleStore,https://www.singlestore.com,OSM (fill),047721952,Kumaran Vijayakumar,CEO,kumaran.vijayakumar@singlestore.com,website,team@singlestore.com; kumaran.vijayakumar@singlestore.com
Larson Shores Architects,https://www.larsonshores.com,OSM (fill),0808316,Principal Architect,Founder,principal.architect@larsonshores.com,website,info@larsonshores.com; principal.architect@larsonshores.com
Cahȧ,https://cahadesign.com,OSM (fill),011000577,,,office@cahadesign.com,none,office@cahadesign.com
SF Dharma Collective,https://sfdharmacollective.org,OSM (fill),0202623,Chris Davis,Director,chris.davis@sfdharmacollective.org,website,info@sfdharmacollective.org; finance.sfdharmacollective@gmail.com; sfdcvolunteers@gmail.com; sfdharmacollective@gmail.com; chris.davis@sfdharmacollective.org
Row House,https://www.therowhouse.com,OSM (fill),0876089183,Eric Von,Co-founder,eric.von@therowhouse.com,website,marketing@therowhouse.com; eric.von@therowhouse.com
Capella Space,https://www.capellaspace.com,OSM (fill),06982935,Accountable Being,partner,accountable@capellaspace.com,website,info@capellaspace.com; recruiting@capellaspace.com; accountable@capellaspace.com
South of Market  Family Resource Center,https://www.somacc.org/soma-family-resource-center-1,OSM (fill),01859492408,Family Advocacy,Partner,family@somacc.org,website,admissions@somacc.org; jennifer@somacc.org; joy@somacc.org; liz@somacc.org; melinda@somacc.org; family@somacc.org
City Lights,https://citylightssf.com/pages/our-showroom,OSM (fill),0697309,Anita Ratnathicam,owner,anita@citylightssf.com,website,info@stagheaddesigns.com; back-in-stock@notifyboost.net; cs@citylightssf.com; privacy@citylightssf.com; trade@citylightssf.com; u003etrade@citylightssf.com; anita@citylightssf.com
Mesopotamia Kitchen,https://www.ordermesopotamiakitchen.com,OSM (fill),042292012,,,mesopotamiakitchen1@gmail.com,none,mesopotamiakitchen1@gmail.com
Hathaway dinwiddie,https://www.hathawaydinwiddie.com,OSM (fill),0220520,Hathaway Dinwiddie,partner,hathaway.dinwiddie@hathawaydinwiddie.com,website,prequal@hdcco.com; hathaway.dinwiddie@hathawaydinwiddie.com
Lagree Fit 415,https://www.lagreefit415.com,OSM (fill),0202623,Katie Lyons,Founder,katie.lyons@lagreefit415.com,website,info@lagreefit415.com; katie.lyons@lagreefit415.com
Caribou Biosciences,https://www.cariboubio.com,OSM (fill),0260612115903,Consolidated Edison,Chief Executive Officer,consolidated@cariboubio.com,website,licensing@cariboubio.com; consolidated@cariboubio.com
"Loft Orbital, Inc.",https://loftorbital.com,OSM (fill),0260703,Base We,partner,base.we@loftorbital.com,website,press@loftorbital.com; sales@loftorbital.com; base.we@loftorbital.com
sköna*,https://skona.com,OSM (fill),029114520,Jenny Sagström,CEO,jenny@skona.com,website,info@skona.com; sweden@skona.com; jenny@skona.com
Renaissance Entrepreneurship Center,https://rencenter.org,OSM (fill),0260413,Bio Lisa,CEO,bio@rencenter.org,website,aburke@rencenter.org; acarmesis@rencenter.org; ahuerta@rencenter.org; aracely@rencenter.org; athai@rencenter.org; borozco@rencenter.org; cbailey@rencenter.org; cenriquez@rencenter.org; cmcclure@rencenter.org; creyes@rencenter.org; dchacona@rencenter.org; dgoldstone@rencenter.org; dhouse@rencenter.org; dominique@rencenter.org; dschmid@rencenter.org; dvenable@rencenter.org; erojas@rencenter.org; gmartin@rencenter.org; iabrego@rencenter.org; isla@rencenter.org; jmorton@rencenter.org; jsigman@rencenter.org; lchavarin@rencenter.org; ldeleon@rencenter.org; lisa@rencenter.org; lrubio@rencenter.org; lsolis@rencenter.org; mtartt@rencenter.org; naguilar@rencenter.org; nrazon@rencenter.org; pavitra@rencenter.org; scardenas@rencenter.org; sharon@rencenter.org; tatiana@rencenter.org; trussell@rencenter.org; ysolis@rencenter.org; ysturgis@rencenter.org; bio@rencenter.org
Guitar Solo,https://gspguitar.com,OSM (fill),0260804,Hot Sellers,Team Member,hot@gspguitar.com,website,gsp@gspguitar.com; hot@gspguitar.com
Live Fit Gym Elite Training,https://lfgelitetraining.com,OSM (fill),0201210,,,nick@llobe.com,none,nick@llobe.com
Local's Fitness,https://www.localsfitness.com,OSM (fill),0182899,,,localsfitness@gmail.com,none,contact@localsfitness.com; localsfitness@gmail.com; u002f@locals.fitness
Westar Marine Services,https://www.westarmarineservices.com,OSM (fill),0883824847,Trusted Marine,Partner,trusted@westarmarineservices.com,website,careers@westarmarineservices.com; info@westarmarineservices.com; johndoe@yahoo.com; robbie@westarmarineservices.com; trusted@westarmarineservices.com
Sofar Ocean,https://www.sofarocean.com,OSM (fill),0870121,Berge Bulk,CEO,berge.bulk@sofarocean.com,website,support@sofarocean.com; berge.bulk@sofarocean.com
Yubalance,https://www.yubalance.com,OSM (fill),0260526,,,frontdesk@yubalance.com,none,frontdesk@yubalance.com
Luna dance institute,https://lunadanceinstitute.org,OSM (fill),0231130,Change Social,Partner,change.social@lunadanceinstitute.org,website,administrator@lunadancecreativity.org; jmsevilla@lunadancecreativity.org; change.social@lunadanceinstitute.org
Firecrawl,https://firecrawl.dev,OSM (fill),0354045468672,Shopify Abhinav,CEO,shopify.abhinav@firecrawl.dev,website,alex-reibman_q70@1x.avif; bardia_q70@1x.avif; bot_q70@1x.avif; chris-deweese_q70@1x.avif; help@firecrawl.com; leads-1_q70@1x.avif; leads-2_q70@1x.avif; leads-3_q70@1x.avif; leads-4_q70@1x.avif; matt-busigin_q70@1x.avif; media-document_q70@1x.avif; morgan-linton_q70@1x.avif; puppeteer_q70@1x.avif; steven-tey_q70@1x.avif; sumanth_q70@1x.avif; tom-morpho_q70@1x.avif; shopify.abhinav@firecrawl.dev
Amplify Partners,https://www.amplifypartners.com,OSM (fill),0301796,Alana Marzoev,CEO,alana@amplifypartners.com,website,david@amplifypartners.com; elliot@amplifypartners.com; grace@amplifypartners.com; lenny@amplifypartners.com; mike@amplifypartners.com; rohan@amplifypartners.com; sarah@amplifypartners.com; sunil@amplifypartners.com; tim@amplifypartners.com; alana@amplifypartners.com
TrailPeople,http://trailpeople.net,OSM (fill),04161076456,,,hello@zanderwestbrook.com,none,hello@zanderwestbrook.com; jobs@zanderwestbrook.com
McCarney’s Furniture,https://www.mccarneysfurniture.com,OSM (fill),09881574,Support Id,cto,support.id@mccarneysfurniture.com,website,info@mccarneysfurniture.com; support.id@mccarneysfurniture.com
Motus,https://motusclinic.com,OSM (fill),035134181,Lindsay Stephens,Founder,lindsay.stephens@motusclinic.com,website,contact@motusclinic.com; hi@motusclinic.com; lindsay.stephens@motusclinic.com
True Ventures,https://trueventures.com,OSM (fill),0213023,Amy Errett,CEO,amy@trueventures.com,website,pitch@trueventures.com; amy@trueventures.com
Haas,https://www.haas-architecture.com,OSM (fill),0501611256618704,Christopher Haas,founder,christopher.haas@haas-architecture.com,website,info@haas-architecture.com; christopher.haas@haas-architecture.com
Custom Fit,https://www.customfitsf.com,OSM (fill),092611863,Evan Mather,Owner,evan@customfitsf.com,website,hello@customfitsf.com; tarah@customfitsf.com; evan@customfitsf.com
Punch King Fitness,https://punchkingfitness.com,OSM (fill),02307349935901,,,hello@tyler.com,none,hello@tyler.com
Paul Smith,https://www.paulsmith.com/uk/stores/san-francisco,OSM (fill),0821648,Club Paul,cto,club.paul@paulsmith.com,website,san.francisco@paulsmith.co.uk; club.paul@paulsmith.com
MindsDB,https://mindsdb.com,OSM (fill),,Adam Carrigan,Co-founder,adam.carrigan@mindsdb.com,website,hello@mindsdb.com; adam.carrigan@mindsdb.com
Little People Preschool and T K,https://littlepeoplepreschoolsf.com,OSM (fill),01020103,,,sebastian@aldusleaf.org,none,info@littlepeoplepreschoolsf.com; sebastian@aldusleaf.org
Urban Pet Hospital,https://www.sfurbanpethospital.com/index.html,OSM (fill),0260626,,,info@sfurbanpethospital.com,none,info@sfurbanpethospital.com
Costanoa Ventures,https://costanoa.vc,OSM (fill),08334400,Camp Costanoa,CEO,camp.costanoa@costanoa.vc,website,info@costanoa.vc; camp.costanoa@costanoa.vc
White Cap,https://whitecapsf.com,OSM (fill),09185916,,,info@whitecapsf.com,none,info@whitecapsf.com
café bolita,https://www.cafebolita.com,OSM (fill),0883824847,,,hola@cafebolita.com,none,hola@cafebolita.com
The Ed Jones Company,https://www.edjonesco.com,OSM (fill),0151008,,,orders@edjonesco.com,none,orders@edjonesco.com
Ristorante Fior d'Italia,https://fior.com,OSM (fill),02174924,,,fior@fior.com,none,fior@fior.com
University Veterinary Hospital,https://www.uvhberkeley.com,OSM (fill),09375185,,,staff@uvhberkeley.com,none,staff@uvhberkeley.com
Little Sparrow Salon & Barber,https://www.littlesparrowsalon.com,OSM (fill),02174924,,,littlesparrowsalon@gmail.com,none,littlesparrowsalon@gmail.com; tracydcollins@gmail.com
Minuteman Press,https://www.e-minutemanpress.com,OSM (fill),05407113,,,ca242@minutemanpress.com,none,ca242@minutemanpress.com
Center for Creative Growth,https://creativegrowth.com,OSM (fill),0250713,,,info@creativegrowth.com,none,info@creativegrowth.com
Fitness Urbano,https://www.fitnessurbano.com,OSM (fill),0260403,,,u@fitnessurbano.com,none,u@fitnessurbano.com
Dumpling Time Thrive City,https://dumplingtime.com,OSM (fill),026023841,,,berkeley@dumplingtime.com,none,berkeley@dumplingtime.com; julie@omakasesf.com
24 Hour Fitness,https://link.24go.co/TIh6r00EI1,OSM (fill),0350002927,,,bob@gmail.com,none,bob@gmail.com
Yakitori Edomasa,https://www.edomasa-us.com,OSM (fill),0202920,,,tkawato@gmail.com,none,tkawato@gmail.com
Bell Resources,https://bellresources.com,OSM (fill),0260802,,,info@bellx.com,none,info@bellx.com
Tumult Inc.,https://tumult.com,OSM (fill),0238205,,,contact@tumult.com,none,contact@tumult.com
Little Sweet,https://www.little-sweet.com,OSM (fill),+14157026763,,,info@little-sweet.com,none,info@little-sweet.com
Ales Unlimited,https://www.alesunlimited.com,OSM (fill),0914411,,,ninfo@alesunlimited.com,none,ninfo@alesunlimited.com
Blu Dot,https://www.bludot.com/san-francisco,OSM (fill),0704211,,,sf@bludot.com,none,service@bludot.com; sf@bludot.com
Mr. East Kitchen,https://www.mreastkitchen.com,OSM (fill),054936319,,,info@mreastkitchen.com,none,info@mreastkitchen.com
Hotel Sausalito & Suites,https://hotelsausalito.com,OSM (fill),0240312,,,info@hotelsausalito.com,none,info@hotelsausalito.com
Atomic machines,https://www.atomicmachines.com,OSM (fill),0548003,,,info@atomicmachines.com,none,info@atomicmachines.com
Chinese Culture Center,https://www.cccsf.us,OSM (fill),07379556,,,info@cccsf.us,none,info@cccsf.us
Panchitas,https://www.panchitaspupuseria.com,OSM (fill),01520153,,,panchitas3091@yahoo.com,none,panchitas3091@yahoo.com
Paradita Eatery,https://paradita.com,OSM (fill),0241005,,,pr@altamiranorestaurants.com,none,info@paradita.com; pr@altamiranorestaurants.com
Core40,https://core40.com/nob-hill,OSM (fill),0190625,,,connect@core40.com,none,connect@core40.com
Sand Studios,https://www.sandstudios.com,OSM (fill),01020103,,,info@sandstudios.com,none,info@sandstudios.com
Vital Vittles,http://vitalvittles.com,OSM (fill),0946131,,,info@altamirabaking.com,none,info@altamirabaking.com
United Barbell,https://www.unitedbarbell.com,OSM (fill),01520153,,,info@goodgym.co,none,info@goodgym.co
J Body Works,https://jbodyworks.com,OSM (fill),01520153,,,info@jbodyworks.com,none,info@jbodyworks.com
Jolt,https://www.joltstudiogym.com,OSM (fill),0202020,,,hi@mystore.com,none,hi@mystore.com
Mission Bay Wine Bar at Thrive City,https://www.missionbaywine.com/mission-bay-wine-bar-thrive-city,OSM (fill),0338717797,,,cakhiatvttbd@gmail.com,none,cakhiatvttbd@gmail.com
